
1	﻿यौ	INJ
1	आ	CC
1	सुनत	VM
1	कोना	WQ
1	जाबत	NST
1	धरि	PSP
1	केओ	PRP
1	हुनका	PRP
1	सम्बन्ध	NN
1	मे	PSP
1	प्रचार	NN
1	नहि	NEG
1	करत	VM
1	?	SYM

1	आओर	CC
1	लोक	NN
1	प्रचार	NN
1	कोना	WQ
1	करत	VM
1	जाबत	NST
1	धरि	PSP
1	पठाओल	VM
1	नहि	NEG
1	जायत	VM
1	?	SYM

1	धर्मशास्त्र	NN
1	मे	PSP
1	लिखल	VM
1	अछि	VAUX
1	जे	PRP
1	,	SYM
1	खुस	NN
1	खबरी	NN
1	सुनौनिहारक	VM
1	पयरक	NN
1	आगमन	NN
1	कतेक	NST
1	सुखद	NN
1	अछि	VM
1	।	SYM

1	मुदा	CC
1	सभ	QF
1	इस्राएली	NNP
1	एहि	PRP
1	शुभ	JJ
1	समाचार	NN
1	केँ	PSP
1	मानलनि	VM
1	नहि	NEG
1	।	SYM

1	जेना	PRP
1	कि	CC
1	यशायाह	NNP
1	कहैत	VM
1	छथि	VAUX
1	जे	PRP
1	,	SYM
1	यौ	INJ
1	प्रभु	NN
1	हमरा	PRP
1	सभक	QF
1	द्वारा	PSP
1	सुनाओल	VM
1	गेल	VAUX
1	उपदेशक	NN
1	बात	NN
1	पर	PSP
1	के	WQ
1	विश्वास	NN
1	कयने	VM
1	अछि	VAUX
1	?	SYM

1	एहि	PRP
1	तरहेँ	PSP
1	अपना	PRP
1	सभ	QF
1	देखैत	VM
1	छी	VAUX
1	जे	PRP
1	,	SYM
1	सुनलाक	VM
1	बाद	NST
1	केओ	PRP
1	विश्वास	NN
1	कऽ	VM
1	सकैत	VAUX
1	अछि	VAUX
1	आ	CC
1	जे	PRP
1	सुनबाक	VM
1	अछि	VAUX
1	,	SYM
1	से	PSP
1	अछि	VM
1	मसीहक	NNP
1	वचन	NN
1	।	SYM

1	मुदा	CC
1	आब	NST
1	हम	PRP
1	पुछैत	VM
1	छी	VAUX
1	जे	PRP
1	,	SYM
1	की	WQ
1	ओ	PRP
1	सभ	QF
1	नहि	NEG
1	सुनने	VM
1	छथि	VAUX
1	?	SYM

1	हँ	INJ
1	,	SYM
1	ओ	PRP
1	सभ	QF
1	अवश्य	NN
1	सुनने	VM
1	छथि	VAUX
1	,	SYM
1	जेना	PRP
1	कि	CC
1	धर्मशास्त्र	NN
1	कहैत	VM
1	अछि	VAUX
1	जे	PRP
1	सम्बाद	NN
1	सुनाबऽ	VM
1	बाला	PSP
1	सभक	QF
1	स्वर	NN
1	समस्त	JJ
1	पृथ्वी	NN
1	पर	PSP
1	पसरि	VM
1	गेल	VAUX
1	अछि	VAUX
1	।	SYM

1	आ	CC
1	हुनकर	PRP
1	सभक	QF
1	वचन	NN
1	संसारक	NN
1	कोना	WQ
1	-	SYM
1	कोना	RDP
1	मे	PSP
1	पहुँचि	VM
1	गेल	VAUX
1	अछि	VAUX
1	।	SYM

1	हम	PRP
1	फेर	NST
1	पुछैत	VM
1	छी	VAUX
1	,	SYM
1	की	WQ
1	इस्राएली	NNP
1	सभ	RP
1	ओ	PRP
1	शुभ	JJ
1	समाचार	NN
1	नहि	NEG
1	बुझि	VM
1	पौलनि	VAUX
1	?	SYM

1	हँ	INJ
1	,	SYM
1	अवश्य	NN
1	बुझलनि	VM
1	,	SYM
1	कारण	NN
1	,	SYM
1	पहिने	NST
1	मूसा	NNP
1	कहलनि	VM
1	जे	PRP
1	प्रभु	NN
1	कहैत	VM
1	छथि	VAUX
1	।	SYM

1	जे	PRP
1	सभ	QF
1	कोनो	PRP
1	जाति	NN
1	नहि	NEG
1	अछि	VM
1	,	SYM
1	तकरा	PRP
1	सभक	QF
1	द्वारा	PSP
1	हम	PRP
1	तोरा	PRP
1	सभ	QF
1	मे	PSP
1	डाह	NN
1	उत्पन्न	NN
1	करबह	VM
1	आ	CC
1	जाहि	PRP
1	जातिक	NN
1	लोक	NN
1	सभ	QF
1	किछु	QF
1	बुझैत	VM
1	नहि	NEG
1	अछि	VM
1	,	SYM
1	तकरा	PRP
1	सभक	QF
1	द्वारा	PSP
1	हम	PRP
1	तोरा	PRP
1	सभ	QF
1	मे	PSP
1	क्रोध	NN
1	उत्प‍न्न	NN
1	करबह	VM
1	।	SYM

1	तखन	NST
1	यशायाह	NNP
1	एकदम	RB
1	खुलि	VM
1	कऽ	VAUX
1	कहलनि	VAUX
1	जे	PRP
1	प्रभु	NN
1	कहैत	VAUX
1	छथि	VAUX
1	।	SYM

1	जे	PRP
1	सभ	QF
1	हमरा	PRP
1	तकैत	VM
1	नहि	NEG
1	छल	VM
1	,	SYM
1	से	PSP
1	सभ	QF
1	हमरा	PRP
1	पाबि	VM
1	लेलक	VAUX
1	आ	CC
1	जे	PRP
1	सभ	QF
1	हमरा	PRP
1	सम्बन्ध	NN
1	मे	PSP
1	पुछितो	VM
1	नहि	NEG
1	छल	VM
1	,	SYM
1	तकरा	PRP
1	सभ	QF
1	पर	PSP
1	हम	PRP
1	अपना	PRP
1	केँ	PSP
1	प्रगट	VM
1	कऽ	VAUX
1	देलिक	VAUX
1	।	SYM

1	मुदा	CC
1	इस्राएली	NNP
1	सभक	RP
1	सम्बन्ध‍	NN
1	मे	PSP
1	ओ	PRP
1	ई	PRP
1	कहैत	VM
1	छथि	VAUX
1	।	SYM

1	आज्ञा	NN
1	नहि	NEG
1	मानऽ	VM
1	बाला	PSP
1	आ	CC
1	जिद्दी	NN
1	अपन	PRP
1	प्रजा	NN
1	सभक	RP
1	दिस	NST
1	हम	PRP
1	भरि	NST
1	दिन	NN
1	अपन	PRP
1	बाँहि	NN
1	पसारने	VM
1	रहलहुँ	VAUX
1	।	SYM

1	परमेश्वर	NST
1	अपन	PRP
1	प्रजा	NN
1	यहूदी	NNP
1	सभक	RP
1	परित्याग	NN
1	नहि	NEG
1	कयलनि	VM
1	।	SYM

1	आब	NST
1	ई	PRP
1	प्रश्न	NN
1	उठैत	VM
1	अछि	VAUX
1	जे	PRP
1	,	SYM
1	की	WQ
1	परमेश्वर	NNP
1	अपन	PRP
1	प्रजा	NN
1	इस्राएली	NNP
1	सभक	RP
1	परित्याग	NN
1	कऽ	VM
1	देने	VAUX
1	छथि	VAUX
1	?	SYM

1	किन्नाहुँ	NST
1	नहि	NEG
1	!	SYM

1	हम	PRP
1	अपने	PRP
1	इस्राएली	NNP
1	छी	VM
1	,	SYM
1	अब्राहमक	NNP
1	वंशज	NN
1	आ	VM
1	बिन्यामीनक	NNP
1	कुलक	NN
1	छी	VM
1	।	SYM

1	परमेश्वरर	NNP
1	अपन	PRP
1	ओहि	DEM
1	प्रजा	NN
1	केँ	PSP
1	जकरा	PRP
1	ओ	PRP
1	शुरुए	NST
1	सँ	PSP
1	चिन्हैत	VM
1	छलाह	VAUX
1	,	SYM
1	परित्याग	NN
1	नहि	NEG
1	कयने	VM
1	छथि	VAUX
1	।	SYM

1	की	WQ
1	अहाँ	PRP
1	सभ	RP
1	नहि	NEG
1	जनैत	VM
1	छी	VAUX
1	जे	PRP
1	धर्मशास्त्रपक	NN
1	ओहि	DEM
1	भाग	NN
1	मे	PSP
1	की	WQ
1	लिखल	VM
1	अछि	VAUX
1	,	SYM
1	जतऽ	NST
1	कहल	VM
1	गेल	VAUX
1	अछि	VAUX
1	जे	PRP
1	एलियाह	NNP
1	कोना	WQ
1	परमेश्वर	NNP
1	सँ	PSP
1	इस्राएली	NNP
1	सभक	RP
1	विरोध	NN
1	मे	PSP
1	सिकायत	VM
1	कयलनि	VAUX
1	?	SYM

1	ओ	PRP
1	कहलनि	VM
1	,	SYM
1	“यौ	INJ
1	प्रभु	NN
1	,	SYM
1	ओ	PRP
1	सभ	QF
1	अहाँक	PRP
1	प्रवक्ता	NN
1	सभक	QF
1	हत्या	NN
1	कऽ	VM
1	देने	VAUX
1	अछि	VAUX
1	आ	CC
1	अहाँक	PRP
1	बलि	NN
1	वेदी	NN
1	सभ	QF
1	केँ	PSP
1	नष्टय	NN
1	कऽ	VAUX
1	देने	VAUX
1	अछि	VAUX
1	।	SYM

1	हम	PRP
1	अहाँ	PRP
1	केँ	PSP
1	मानऽ	VM
1	वला	PSP
1	बाँचि	VM
1	गेल	VAUX
1	छी	VAUX
1	आ	CC
1	ओ	PRP
1	सभ	QF
1	हमरो	PRP
1	प्राण	NN
1	लेबऽ	VM
1	चाहैत	VAUX
1	अछि	VAUX
1	।	SYM

1	”तँ	RB
1	परमेश्वर	NNP
1	हुनका	PRP
1	की	WQ
1	उत्तर	NN
1	देलथिन	VM
1	?	SYM

1	ई	PRP
1	जे	PRP
1	,	SYM
1	“हम	PRP
1	अपना	PRP
1	लेल	PSP
1	सात	QC
1	हजार	CL
1	लोक	NN
1	केँ	PSP
1	बँचा	VM
1	कऽ	VAUX
1	रखने	VAUX
1	छी	VAUX
1	,	SYM
1	जे	PRP
1	सभ	QF
1	बाअल	NNP
1	देवताक	NN
1	मुरुतक	NN
1	समक्ष	NN
1	दण्डेवत	NN
1	नहि	NEG
1	कयने	VM
1	अछि	VAUX
1	।	SYM

1	”ठीक	JJ
1	एही	PRP
1	प्रकारेँ	NN
1	वर्तमान	JJ
1	समय	NN
1	मे	PSP
1	सेहो	RP
1	परमेश्वर	NNP
1	अपना	PRP
1	प्रजा	NN
1	मे	PSP
1	सँ	PSP
1	अपना	PRP
1	लेल	PSP
1	एक	QC
1	छोट	JJ
1	भाग	NN
1	बचा	VM
1	कऽ	VAUX
1	रखने	VAUX
1	छथि	VAUX
1	जकरा	PRP
1	ओ	PRP
1	अपना	PRP
1	कृपा	NN
1	सँ	PSP
1	चुनलनि	VM
1	।	SYM

1	आओर	CC
1	ई	PRP
1	जँ	RB
1	परमेश्वरक	NNP
1	कृपाक	NN
1	परिणाम	NN
1	अछि	VM
1	,	SYM
1	तँ	RB
1	मनुष्यक	NN
1	कर्मक	NN
1	फल	NN
1	आब	NST
1	नहि	NEG
1	भेल	VM
1	,	SYM
1	नहि	NEG
1	तँ	RB
1	परमेश्वरक	NNP
1	कृपा	NN
1	कृपे	NN
1	नहि	NEG
1	रहैत	VM
1	।	SYM

1	तँ	RB
1	एकर	PRP
1	मतलब	NN
1	की	WQ
1	भेल	VM
1	?	SYM

1	ई	PRP
1	जे	PRP
1	,	SYM
1	इस्राएली	NNP
1	सभ	RP
1	जाहि	PRP
1	बातक	NN
1	खोज	NN
1	मे	PSP
1	छलाह	VM
1	,	SYM
1	से	PSP
1	हुनका	PRP
1	सभ	QF
1	गोटे	CL
1	केँ	PSP
1	नहि	NEG
1	भेटलनि	VM
1	,	SYM
1	मुदा	CC
1	तिनका	PRP
1	सभ	QF
1	केँ	PSP
1	भेटलनि	VM
1	जे	PRP
1	सभ	QF
1	चुनल	VM
1	गेल	VAUX
1	छलाह	VAUX
1	।	SYM

1	बाँकी	JJ
1	लोक	NN
1	सभ	RP
1	जिद्दी	NN
1	बनि	VM
1	गेलैक	VAUX
1	,	SYM
1	जेना	PRP
1	धर्मशास्त्र	NN
1	मे	PSP
1	लिखलो	VM
1	अछि	VAUX
1	,	SYM
1	परमेश्वर	NNP
1	ओकरा	PRP
1	सभक	QF
1	मोन	NN
1	सुस्त	NN
1	बना	VM
1	देलथिन	VAUX
1	,	SYM
1	एहन	JJ
1	आँखि	NN
1	देलथिन	VM
1	जे	PRP
1	देखि	VM
1	नहि	NEG
1	सकैत	VM
1	छल	VAUX
1	।	SYM

1	आ	CC
1	एहन	JJ
1	कान	NN
1	देलथिन	VM
1	जे	PRP
1	सुनि	VM
1	नहि	NEG
1	सकैत	VM
1	छल	VAUX
1	।	SYM

1	आओर	CC
1	आइ	NST
1	धरि	PSP
1	ओकरा	PRP
1	सभक	QF
1	दशा	NN
1	एहने	PRP
1	बनल	VM
1	छैक	VAUX
1	।	SYM

1	तहिना	RB
1	दाऊद	NNP
1	कहैत	VM
1	छथि	VAUX
1	जे	PRP
1	ओकर	PRP
1	सभक	QF
1	भोजन	NN
1	ओकरा	PRP
1	सभक	QF
1	लेल	PSP
1	जाल	NN
1	आ	CC
1	फाँस	NN
1	बनि	VM
1	जाइक	VAUX
1	,	SYM
1	ओकरा	PRP
1	सभक	QF
1	पतन	NN
1	आ	CC
1	दण्डक	NN
1	कारण	NN
1	बनैक	VM
1	।	SYM

1	ओकरा	PRP
1	सभक	QF
1	आँखिक	NN
1	आगाँ	NST
1	अन्हार	NN
1	पसरि	VM
1	जाइक	VAUX
1	जाहि	PRP
1	सँ	PSP
1	ओ	PRP
1	सभ	QF
1	देखि	NN
1	नहि	NEG
1	सकय	VM
1	आ	CC
1	ओकरा	PRP
1	सभक	QF
1	पीठ	NN
1	सभ	RP
1	दिनक	NN
1	लेल	PSP
1	बोझ	NN
1	सँ	PSP
1	झुकल	VM
1	रहैक	VAUX
1	।	SYM

1	कलम	NN
1	लगाओल	VM
1	गेल	VAUX
1	ठाढ़ि	NN
1	।	SYM

1	ई	PRP
1	प्रश्न	NN
1	आब	NST
1	उठि	VM
1	सकैत	VAUX
1	अछि	VAUX
1	जे	PRP
1	,	SYM
1	की	WQ
1	इस्राएली	NNP
1	सभ	RP
1	एहन	JJ
1	ठोकर	NN
1	खयलनि	VM
1	जे	PRP
1	आब	NNP
1	हुनका	PRP
1	सभक	QF
1	लेल	PSP
1	कोनो	PRP
1	उपाय	NN
1	नहि	NEG
1	अछि	VM
1	?	SYM

1	किन्नहुँ	NST
1	नहि	NEG
1	!	SYM

1	बल्कि	CC
1	हुनका	PRP
1	सभक	QF
1	अपराधक	NN
1	कारण	NN
1	गैर	JJ
1	-	SYM
1	यहूदी	NNP
1	लोक	NN
1	सभ	RP
1	केँ	PSP
1	उद्धार	NN
1	भेटल	VM
1	अछि	VAUX
1	,	SYM
1	जाहि	PRP
1	सँ	PSP
1	,	SYM
1	देखि	VM
1	कऽ	VAUX
1	इस्राएली	NNP
1	सभ	RP
1	मे	PSP
1	उद्धार	NN
1	पयबाक	NN
1	उत्सुकता	NN
1	जागि	VM
1	उठनि	VAUX
1	।	SYM

1	आब	NST
1	जखन	NNP
1	इस्राएली	NNP
1	सभक	RP
1	अपराध	NN
1	आ	CC
1	पतन	NN
1	सँ	PSP
1	संसार	NN
1	केँ	PSP
1	,	SYM
1	अर्थात्	CC
1	आन	JJ
1	जाति	NN
1	सभ	QF
1	केँ	PSP
1	,	SYM
1	एतेक	QF
1	लाभ	NN
1	भेलैक	VM
1	,	SYM
1	तँ	RB
1	सोचू	VM
1	जे	PRP
1	तखन	NST
1	कतेक	NST
1	लाभ	NN
1	होयत	VM
1	जखन	NST
1	ओ	PRP
1	सभ	QF
1	इस्राएली	NNP
1	,	SYM
1	जतेक	NST
1	केँ	PSP
1	परमेश्वर	NNP
1	चुनने	VM
1	छथि	VAUX
1	,	SYM
1	से	PSP
1	अपन	PRP
1	पूर्ण	JJ
1	संख्या	NN
1	मे	PSP
1	विश्वास	NN
1	कऽ	VM
1	कऽ	VAUX
1	मसीह	NNP
1	लग	NST
1	आबि	NST
1	जयताह	VM
1	!	SYM

1	आब	NST
1	अहाँ	PRP
1	सभ	RP
1	केँ	PSP
1	,	SYM
1	जे	PRP
1	सभ	QF
1	गैर	JJ
1	-	SYM
1	यहूदी	NNP
1	लोक	NN
1	छी	VM
1	,	SYM
1	हम	PRP
1	ई	PRP
1	कहैत	VM
1	छी	VAUX
1	।	SYM

1	हम	PRP
1	तँ	RB
1	गैर	JJ
1	-	SYM
1	यहूदी	NNP
1	लोक	NN
1	मे	PSP
1	प्रचार	NN
1	करबाक	VM
1	लेल	PSP
1	मसीह	NNP
1	-	SYM
1	दूतक	NN
1	रूप	NN
1	मे	PSP
1	चुनल	VM
1	गेल	VAUX
1	छी	VAUX
1	आ	CC
1	हम	PRP
1	अपन	PRP
1	एहि	PRP
1	काज	NN
1	केँ	PSP
1	विशेष	JJ
1	महत्व	NN
1	।	SYM

1	दैत	VM
1	छी	VAUX
1	जाहि	PRP
1	सँ	PSP
1	अहाँ	PRP
1	सभ	RP
1	केँ	PRP
1	जे	PRP
1	किछु	QF
1	भेटल	VM
1	अछि	VAUX
1	,	SYM
1	से	PSP
1	प्राप्त	NN
1	करबाक	VM
1	उत्सुकता	NN
1	हम	PRP
1	अपन	PRP
1	सजाति	NN
1	लोक	NN
1	सभ	RP
1	मे	PSP
1	उत्पन्न	NN
1	,	SYM
1	कऽ	VM
1	कोनो	PRP
1	तरहेँ	PSP
1	हुनका	PRP
1	सभ	QF
1	मे	PSP
1	सँ	PSP
1	किछु	QF
1	लोक	NN
1	केँ	PSP
1	बचा	VM
1	सकी	VAUX
1	।	SYM

1	किएक	WQ
1	तँ	RB
1	जँ	RB
1	हुनका	PRP
1	सभ	QF
1	केँ	PSP
1	परित्यागक	NN
1	फलस्वरूप	NN
1	परमेश्व‍रक	NNP
1	संग	PSP
1	संसारक	NN
1	मेल	VM
1	-	SYM
1	मिलाप	NN
1	भेल	VM
1	अछि	VAUX
1	तँ	RB
1	हुनका	PRP
1	सभ	QF
1	केँ	PSP
1	स्वीकारक	NN
1	परिणाम	NN
1	हुनका	PRP
1	सभक	QF
1	लेल	PSP
1	मरल	VM
1	स्थिति	NN
1	मे	PSP
1	सँ	PSP
1	जिआओल	VM
1	जयबाक	VAUX
1	बात	NN
1	छोड़ि	VM
1	आओर	CC
1	की	WQ
1	होयत	VM
1	?	SYM

1	जँ	RB
1	सानल	VM
1	आँटाक	NN
1	ओ	PRP
1	भाग	NN
1	पवित्र	JJ
1	अछि	VM
1	जे	PRP
1	प्रथम	QO
1	फलक	NN
1	रूप	NN
1	मे	PSP
1	अर्पण	NN
1	कयल	VM
1	गेल	VAUX
1	,	SYM
1	तँ	RB
1	सम्पूर्ण	JJ
1	सानल	VM
1	आँटा	NN
1	पवित्र	JJ
1	अछि	VM
1	।	SYM

1	जँ	RB
1	गाछक	NN
1	जड़ि	NN
1	पवित्र	JJ
1	अछि	VM
1	तँ	RB
1	गाछक	NN
1	ठाढ़ि	NN
1	सेहो	RP
1	पवित्र	JJ
1	अछि	VM
1	।	SYM

1	मुदा	CC
1	जँ	RB
1	गाछक	NN
1	किछु	QF
1	ठाढ़ि	NN
1	काटि	VM
1	कऽ	VAUX
1	अलग	RB
1	कयल	VM
1	गेल	VAUX
1	अछि	VAUX
1	आ	CC
1	अहाँ	PRP
1	सभ	RP
1	जे	PRP
1	सभ	QF
1	जंगली	JJ
1	जैतूनक	NN
1	ठाढ़ि	NN
1	छी	VM
1	,	SYM
1	से	PSP
1	सभ	QF
1	ओहि	DEM
1	नीक	JJ
1	जैतून	NN
1	मे	PSP
1	कलम	NN
1	लगाओल	VM
1	गेलहुँ	VAUX
1	आ	CC
1	ओकर	PRP
1	जड़ि	NN
1	आ	CC
1	रस	NN
1	-	SYM
1	भण्डार	NN
1	मे	PSP
1	सहभागी	NN
1	भेलहुँ	VM
1	,	SYM
1	तँ	RB
1	ओहि	DEM
1	काटल	VM
1	ठाढ़ि	NN
1	सभक	QF
1	सम्मुख	JJ
1	अहंकार	NN
1	नहि	NEG
1	करू	VM
1	।	SYM

1	जँ	RB
1	अहाँ	PRP
1	सभ	RP
1	अहंकार	NN
1	करी	VM
1	तँ	RB
1	मोन	NN
1	राखू	VM
1	जे	PRP
1	जड़ि	NN
1	अहाँ	PRP
1	सभ	RP
1	पर	PSP
1	नहि	NEG
1	,	SYM
1	बल्कि	CC
1	अहाँ	PRP
1	सभ	RP
1	जड़ि	NN
1	पर	PSP
1	आश्रित	NN
1	छी	VM
1	।	SYM

1	आब	NST
1	अहाँ	PRP
1	सभ	RP
1	कहब	VM
1	जे	PRP
1	,	SYM
1	ठाढ़ि	NN
1	सभ	QF
1	केँ	PSP
1	एहि	PRP
1	लेल	PSP
1	काटल	VM
1	गेल	VAUX
